combo,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XLC
cold | cold,3.473,1.697,4.52,3.662,4.011,3.515,0.155,2.874,4.795,4.926,0.706
cold | neutral,1.208,-2.515,0.705,0.23,2.977,1.569,0.34,1.439,3.536,2.099,-1.063
extreme | extreme,-1.053,2.109,-5.325,-1.969,-0.674,0.039,-0.558,-0.763,-0.005,-2.51,-2.378
extreme | hot,6.656,5.598,5.601,4.443,7.181,2.208,-4.239,-0.046,1.381,5.062,5.065
extreme | neutral,8.476,1.121,8.154,9.838,13.068,4.373,8.091,4.194,1.981,10.693,15.445
hot | cold,2.221,7.351,13.74,5.744,2.701,-3.604,-8.243,-3.704,-5.329,2.084,
hot | extreme,-0.838,8.304,2.108,0.666,4.098,-0.219,0.428,1.971,0.667,5.318,3.949
hot | hot,2.487,0.585,3.547,3.541,4.514,4.282,4.679,4.706,2.415,2.163,2.586
hot | neutral,4.165,2.539,3.26,5.902,9.161,1.907,1.456,0.937,2.58,6.092,9.018
nan | nan,0.336,2.615,0.903,1.109,-4.835,2.388,,2.675,-2.171,-1.334,
neutral | cold,4.8,4.89,3.552,4.346,6.096,2.227,0.233,1.843,1.938,4.741,4.609
neutral | extreme,5.546,10.164,5.331,4.457,3.461,4.421,5.856,3.579,4.722,2.761,0.439
neutral | hot,3.101,4.406,4.465,4.612,4.469,3.721,3.727,4.012,3.574,4.94,2.747
neutral | neutral,1.822,2.159,1.564,3.096,3.476,2.231,2.318,3.304,2.493,2.685,3.321
