signal,bucket,bull_n,bull_mean_ret_pct,bull_alpha_vs_spy_pct,bull_hit_rate_pct,bear_n,bear_mean_ret_pct,bear_alpha_vs_spy_pct,bear_hit_rate_pct
insider,Small Cap,489,10.020847203485824,8.348412479804335,63.80368098159509,615,1.2484195577832824,-0.34199695319395756,50.73170731707317
insider,Mid Cap,81,1.9564537108553597,0.13737205691263113,44.44444444444444,322,0.7737781783560386,-1.0151831820096944,52.79503105590062
insider,Large Cap,0,,,,5,2.721423080517396,1.5091484394765768,20.0
insider,Mega Cap,0,,,,0,,,
options,Small Cap,0,,,,0,,,
options,Mid Cap,0,,,,0,,,
options,Large Cap,0,,,,0,,,
options,Mega Cap,0,,,,0,,,
congress,Small Cap,6,1.1209375453906392,-3.877767772936571,50.0,7,-0.603892031190909,-4.276989945135704,57.14285714285714
congress,Mid Cap,0,,,,0,,,
congress,Large Cap,0,,,,0,,,
congress,Mega Cap,0,,,,0,,,
technicals,Small Cap,1253,4.698152664730923,3.7897159349512806,56.58419792498005,709,3.7956734091998885,1.4078621344173687,41.607898448519045
technicals,Mid Cap,164,1.4237152732747718,0.8286384124866226,48.170731707317074,55,1.798791752808412,-0.14014053580712768,52.72727272727272
technicals,Large Cap,3,-13.484995529274652,-11.601523812077746,33.33333333333333,0,,,
technicals,Mega Cap,0,,,,0,,,
analyst,Small Cap,5012,4.138311088714036,2.5427917188971283,58.99840383080607,216,0.8065919542681241,-0.6048080324563219,57.870370370370374
analyst,Mid Cap,1424,0.16424615738472856,-1.4453027262000773,48.59550561797753,46,-3.3218648392858983,-4.0643044556794745,60.86956521739131
analyst,Large Cap,9,-7.438168240536479,-6.690392696132422,11.11111111111111,5,-3.348307582202549,-2.6384245383460514,40.0
analyst,Mega Cap,0,,,,0,,,
short_interest,Small Cap,0,,,,0,,,
short_interest,Mid Cap,0,,,,0,,,
short_interest,Large Cap,0,,,,0,,,
short_interest,Mega Cap,0,,,,0,,,
